Kod,Nazwa,Rok,populacja,zgony,tlenki_azotu,tlenek_wegla,podtlenek_azotu,dwutlenek_siarki,dwutlenek_wegla,metan,nie_zorganizowana
200000,DOLNOSLASKIE,1996,2986884,,,,,,,,
200000,DOLNOSLASKIE,1997,2985381,,,,,,,,
200000,DOLNOSLASKIE,1998,2982128,,26056,15975,9,137512,14600500,66,264
200000,DOLNOSLASKIE,1999,2917139,6693,24709,13134,9,69766,14249156,52,11398
200000,DOLNOSLASKIE,2000,2912195,6790,24506,11909,0,72597,14955329,43,16441
200000,DOLNOSLASKIE,2001,2909622,6965,25048,10746,0,68227,14508184,37,13847
200000,DOLNOSLASKIE,2002,2904694,7078,22538,9447,0,54415,13283996,32,11847
200000,DOLNOSLASKIE,2003,2898313,7219,24443,9029,0,51381,14288474,103,11273
200000,DOLNOSLASKIE,2004,2893055,7286,22821,9966,0,56302,16559118,569,12861
200000,DOLNOSLASKIE,2005,2888232,7426,23162,9609,0,60466,17941373,12578,33121
200000,DOLNOSLASKIE,2006,2882317,7558,21082,9335,0,67839,17440418,9164,22368
200000,DOLNOSLASKIE,2007,2878410,7779,20912,11140,0,60868,16578598,4012,12684
200000,DOLNOSLASKIE,2008,2877059,7729,18978,9319,0,54052,16870678,4221,11445
200000,DOLNOSLASKIE,2009,2876627,7715,18497,7867,2,54871,15381247,2913,11703
200000,DOLNOSLASKIE,2010,2917242,7478,19208,7813,2,54182,16260865,203,438
200000,DOLNOSLASKIE,2011,2916577,7699,18722,7146,2,48364,15866406,182,400
200000,DOLNOSLASKIE,2012,2914362,8067,18898,7424,2,48148,15963062,183,547
200000,DOLNOSLASKIE,2013,2909997,7808,16343,7109,2,38009,15222847,185,981
200000,DOLNOSLASKIE,2014,2908457,8215,14219,6438,2,24891,13430685,1098,2048
200000,DOLNOSLASKIE,2015,2904207,8638,12907,7365,6,22615,12789373,131,891
200000,DOLNOSLASKIE,2016,2903710,8739,11072,7394,6,20081,12772748,81,676
200000,DOLNOSLASKIE,2017,2902547,8977,10557,5585,6,13715,11997408,181,803
400000,KUJAWSKO-POMORSKIE,1996,2095819,,,,,,,,
400000,KUJAWSKO-POMORSKIE,1997,2098018,,,,,,,,
400000,KUJAWSKO-POMORSKIE,1998,2100106,,20941,19752,22,41961,8550741,0,791
400000,KUJAWSKO-POMORSKIE,1999,2068864,4775,19111,18759,19,37550,8066057,0,693
400000,KUJAWSKO-POMORSKIE,2000,2067817,4864,16450,20281,0,35428,8088326,0,665
400000,KUJAWSKO-POMORSKIE,2001,2069747,4988,15837,23597,0,34600,8279491,0,662
400000,KUJAWSKO-POMORSKIE,2002,2069166,5108,14666,18991,0,37170,7760092,0,744
400000,KUJAWSKO-POMORSKIE,2003,2068142,5106,14600,18097,0,35660,8742152,0,1479
400000,KUJAWSKO-POMORSKIE,2004,2068258,5240,14416,17071,0,31535,8765058,0,1011
400000,KUJAWSKO-POMORSKIE,2005,2068253,5277,14140,17800,0,29534,8081951,0,1272
400000,KUJAWSKO-POMORSKIE,2006,2066371,5373,13534,16981,0,31582,7638823,0,975
400000,KUJAWSKO-POMORSKIE,2007,2066136,5604,14886,16931,3378,28273,7467569,551,246
400000,KUJAWSKO-POMORSKIE,2008,2067918,5427,12806,15685,2049,24238,6907293,840,678
400000,KUJAWSKO-POMORSKIE,2009,2069083,5742,12058,13081,359,22039,6715258,1022,597
400000,KUJAWSKO-POMORSKIE,2010,2098711,5852,13690,15657,359,23140,6941843,1022,298
400000,KUJAWSKO-POMORSKIE,2011,2098370,5491,12865,15669,295,19894,6980088,1216,312
400000,KUJAWSKO-POMORSKIE,2012,2096404,5755,12548,16902,289,20455,8398770,3907,364
400000,KUJAWSKO-POMORSKIE,2013,2092564,5585,12778,12597,219,19294,7886988,3788,1116
400000,KUJAWSKO-POMORSKIE,2014,2089992,5768,11875,12652,196,16812,8055168,2358,1156
400000,KUJAWSKO-POMORSKIE,2015,2086210,5652,12287,13432,228,17892,8328734,3708,3139
400000,KUJAWSKO-POMORSKIE,2016,2083927,6091,12371,15555,294,15115,9275744,5434,3447
400000,KUJAWSKO-POMORSKIE,2017,2082944,6235,11304,16230,251,12513,9729869,3659,3618
600000,LUBELSKIE,1996,2244212,,,,,,,,
600000,LUBELSKIE,1997,2241952,,,,,,,,
600000,LUBELSKIE,1998,2239500,,11428,10992,0,26993,5697816,93,280
600000,LUBELSKIE,1999,2209083,4436,9251,10088,0,23633,5109783,93,14
600000,LUBELSKIE,2000,2206200,4573,10518,7137,0,21834,4533680,89,10
600000,LUBELSKIE,2001,2201720,4706,9178,6112,0,21259,4254946,88,7
600000,LUBELSKIE,2002,2196992,4824,9718,6831,0,21346,5164905,88,6
600000,LUBELSKIE,2003,2191172,4847,9993,7427,0,18643,5090796,87,5
600000,LUBELSKIE,2004,2185156,4912,11083,6939,0,19038,5249655,84,5
600000,LUBELSKIE,2005,2179611,4850,10803,6970,0,19103,5245365,85,1
600000,LUBELSKIE,2006,2172766,4870,9874,7071,0,18581,5041535,89,23
600000,LUBELSKIE,2007,2166213,5043,10523,7658,0,18827,5252370,88,4
600000,LUBELSKIE,2008,2161832,5170,9606,6308,0,15641,4872364,98,345
600000,LUBELSKIE,2009,2157202,5162,8497,7243,763,14939,4868817,90,30
600000,LUBELSKIE,2010,2178611,4895,8663,8653,893,13176,5163079,77,28
600000,LUBELSKIE,2011,2171857,4926,9178,7600,1378,13979,5544986,53,30
600000,LUBELSKIE,2012,2165651,4951,8671,7218,1792,12711,5292809,236,14
600000,LUBELSKIE,2013,2156150,5135,7606,5225,1013,9991,4703062,251,56
600000,LUBELSKIE,2014,2147746,5125,7940,5885,760,9769,4944642,45,65
600000,LUBELSKIE,2015,2139726,5433,6753,5693,853,6001,4978698,44,69
600000,LUBELSKIE,2016,2133340,5330,6194,5922,851,4373,5077123,36,168
600000,LUBELSKIE,2017,2126317,5497,6366,6532,622,4666,5049237,24,75
800000,LUBUSKIE,1996,1017596,,,,,,,,
800000,LUBUSKIE,1997,1020345,,,,,,,,
800000,LUBUSKIE,1998,1022521,,5621,15258,0,10511,1920887,0,24
800000,LUBUSKIE,1999,1007967,2151,4442,13183,0,8397,1968891,0,7
800000,LUBUSKIE,2000,1008472,2156,3114,13420,0,6039,1774356,0,1
800000,LUBUSKIE,2001,1008983,2161,3038,12197,0,5832,1918925,0,0
800000,LUBUSKIE,2002,1008196,2300,2689,12501,0,5601,1498178,0,172
800000,LUBUSKIE,2003,1008786,2274,2748,18555,0,5195,1758846,0,145
800000,LUBUSKIE,2004,1009168,2313,2841,24904,0,5207,2077144,0,0
800000,LUBUSKIE,2005,1009198,2388,2854,24280,0,5189,2156412,0,0
800000,LUBUSKIE,2006,1008520,2330,2649,28569,0,4835,2178198,0,0
800000,LUBUSKIE,2007,1008481,2436,2239,30347,0,3267,1982476,0,1361
800000,LUBUSKIE,2008,1008962,2479,2163,23660,0,2742,1813179,0,73
800000,LUBUSKIE,2009,1010047,2416,2489,20186,0,2944,1926296,0,90
800000,LUBUSKIE,2010,1023215,2454,2744,21550,0,3034,2052779,0,92
800000,LUBUSKIE,2011,1023158,2527,2516,16757,0,2759,2066477,0,86
800000,LUBUSKIE,2012,1023317,2573,2399,17856,0,2630,2030131,0,45
800000,LUBUSKIE,2013,1021470,2564,2405,17640,0,2282,1985842,0,40
800000,LUBUSKIE,2014,1020307,2558,2478,17320,0,2368,1985797,0,7348
800000,LUBUSKIE,2015,1018075,2624,6111,8812,1,2631,1981285,0,5150
800000,LUBUSKIE,2016,1017376,2737,2701,2448,1,2471,2175286,0,2018
800000,LUBUSKIE,2017,1016832,2830,2731,2426,1,2149,2185491,0,5571
1000000,LODZKIE,1996,2680350,,,,,,,,
1000000,LODZKIE,1997,2672823,,,,,,,,
